$`subj 1200`
$`subj 1200`$power
 [1] 0.316 1.000 1.000 0.741 0.266 0.067 0.086 0.879 1.000 0.053 0.576

$`subj 1200`$p
                [,1]         [,2] [,3]         [,4]         [,5]         [,6]         [,7]         [,8]
  [21,] 2.117133e-02 4.663504e-06    0 2.552916e-02 2.574150e-02 0.4669907573 0.8852204792 3.214998e-04
  [22,] 5.717444e-02 3.557722e-08    0 2.552631e-02 1.178325e-02 0.8403703791 0.0731967713 9.579268e-05
  [23,] 1.911092e-01 3.949258e-08    0 8.812629e-05 4.869046e-02 0.2037830003 0.1991312942 1.616794e-05
  [24,] 3.060273e-02 2.192599e-09    0 1.505534e-01 1.002850e-01 0.1763813167 0.9783308900 1.361674e-01
  [25,] 2.077497e-02 4.773959e-14    0 1.327143e-06 1.896694e-01 0.0869906094 0.1373396960 1.516992e-06
  [26,] 3.963635e-02 2.441894e-09    0 2.265219e-03 4.286691e-02 0.9450964990 0.7131237858 6.508723e-04
  [27,] 1.007342e-01 1.663951e-08    0 6.304873e-03 3.868904e-02 0.4433103383 0.6733892630 9.245579e-04
  [28,] 1.166093e-01 8.631086e-09    0 5.148406e-04 9.413286e-01 0.9674915625 0.6031556653 1.861147e-05
  [29,] 1.465381e-01 3.322401e-06    0 2.249533e-02 3.688035e-01 0.0892961459 0.9369928262 6.039549e-02
  [30,] 4.113926e-01 1.477294e-10    0 1.187419e-04 1.884311e-02 0.7077698948 0.4701033413 9.060737e-06
  [31,] 5.194622e-01 2.549086e-09    0 1.532689e-01 2.950119e-02 0.8187780359 0.6079225695 2.556064e-02
  [32,] 3.896367e-02 3.286260e-14    0 4.266864e-04 1.814248e-01 0.4830164958 0.0118831781 4.427903e-05
  [33,] 1.728441e-06 9.446577e-11    0 2.430760e-02 2.252614e-01 0.2071269771 0.5115743819 6.527389e-03
  [34,] 1.704502e-01 1.762948e-05    0 1.808408e-01 6.779275e-02 0.8779248698 0.7912668791 2.633609e-02
  [35,] 2.792005e-01 6.415601e-11    0 6.981123e-04 5.867448e-01 0.0905178124 0.1301422747 1.412461e-03
  [36,] 3.964589e-02 2.040517e-08    0 1.060458e-02 4.075529e-01 0.2311689531 0.4944766416 4.643988e-03
  [37,] 9.416353e-01 2.973133e-07    0 6.574977e-05 1.133324e-02 0.9823219688 0.5665460579 2.923306e-03
  [38,] 4.408280e-01 1.173992e-10    0 2.854703e-04 7.268586e-04 0.7649408742 0.3884976486 4.256073e-05
  [39,] 7.558171e-02 6.261658e-14    0 1.733069e-01 4.233740e-01 0.0442676970 0.6154889793 3.497955e-02
  [40,] 6.280782e-02 6.440626e-12    0 6.006472e-05 5.327090e-01 0.5003379479 0.0018365642 3.567670e-05
  [41,] 3.470467e-03 1.006928e-11    0 1.403093e-03 5.244613e-01 0.3154916154 0.6238013448 4.233804e-04
  [42,] 5.848540e-02 1.998401e-13    0 1.111814e-02 2.915696e-03 0.4055714987 0.5599939284 1.273957e-04
  [43,] 3.170503e-02 7.479360e-08    0 6.515623e-01 1.951942e-01 0.4889946310 0.7287889548 5.384057e-01
  [44,] 2.822794e-01 4.288880e-11    0 5.522847e-03 3.273798e-03 0.4315540893 0.3808489187 1.731657e-04
  [45,] 6.468025e-02 1.607246e-05    0 4.754715e-03 3.522731e-02 0.3593652554 0.8592309273 3.911225e-03
  [46,] 9.915865e-02 2.395772e-10    0 4.170279e-02 5.428946e-01 0.3859287716 0.8545336769 2.322418e-02
  [47,] 1.008904e-01 3.907847e-05    0 3.599890e-01 3.040784e-03 0.3445630686 0.3909894422 5.824814e-02
  [48,] 2.700964e-02 1.181633e-11    0 1.857144e-01 9.342171e-01 0.0775588783 0.4593538333 1.031435e-03
  [49,] 8.155270e-01 8.029102e-07    0 6.110128e-04 2.753421e-01 0.8438895400 0.0958268075 1.543338e-05
  [50,] 2.686641e-02 1.826164e-09    0 7.416731e-04 1.801272e-01 0.7857147524 0.1720503698 2.002966e-03
  [51,] 3.619511e-01 3.991696e-11    0 4.392063e-01 1.450531e-03 0.8670011373 0.2159430371 3.050736e-02
  [52,] 9.887220e-02 5.720206e-03    0 1.401344e-03 3.454823e-02 0.8214551571 0.4010574481 2.249667e-04
  [53,] 2.274669e-02 3.779439e-10    0 4.977630e-02 2.591791e-01 0.7225566035 0.8623415258 2.690433e-03
  [54,] 6.098922e-01 7.465750e-07    0 5.397421e-02 5.029541e-01 0.0469877218 0.8377940429 3.935357e-01
  [55,] 6.444201e-01 1.549871e-13    0 3.730718e-01 9.289839e-01 0.1870942766 0.9775987623 1.368932e-01
  [56,] 5.060452e-02 9.652025e-09    0 3.074215e-04 2.968762e-01 0.0291592073 0.3827921515 6.850500e-06
  [57,] 1.858087e-02 0.000000e+00    0 1.680438e-05 4.500917e-01 0.5527445571 0.1441356403 5.117318e-05
  [58,] 2.091399e-01 7.868962e-09    0 7.756362e-03 1.403111e-04 0.2365912077 0.4424704402 1.429891e-05
  [59,] 4.803584e-01 2.015901e-09    0 2.280545e-02 8.409916e-01 0.1911823718 0.6085692587 1.302572e-03
  [60,] 2.655699e-02 1.680163e-10    0 6.038069e-03 3.250602e-01 0.0848133609 0.2771182703 1.874419e-02
  [61,] 3.488677e-01 2.663598e-10    0 9.446467e-02 8.351827e-01 0.2221322801 0.4333998084 3.649429e-02
  [62,] 5.392930e-01 3.947965e-09    0 1.925539e-02 2.493278e-01 0.2896076708 0.2546931869 2.530686e-02
  [63,] 7.895623e-02 2.003479e-08    0 6.258354e-02 3.701340e-01 0.4749379905 0.9282452161 2.422746e-01
  [64,] 3.522360e-01 1.167701e-10    0 1.733434e-04 2.108041e-01 0.0996544707 0.2671825763 5.847339e-08
  [65,] 8.041980e-01 2.935315e-07    0 1.132861e-01 2.651408e-01 0.8838678149 0.5219138059 1.079171e-01
  [66,] 9.174510e-01 4.267697e-13    0 8.958128e-03 7.409248e-01 0.4229601677 0.9677557061 2.268733e-05
  [67,] 1.898857e-01 6.130079e-07    0 6.235397e-05 1.029870e-01 0.0034152546 0.0622487423 3.644153e-06
