workerid,trial,story,condition,rt,world,activity,Qtype,rating,experiment,eligible
2404,1,13_bus,before,13827,wonky,,script,57.01,exclamation,True
2404,2,6_swimming,after,15167,ordinary,non-habitual,script,53.85,exclamation,True
2404,3,7_train,before,42546,ordinary,,script,44.25,exclamation,True
2404,4,22_dishes,after,9426,wonky,habitual,script,43.86,exclamation,True
2404,5,10_shampoo,after,15672,ordinary,habitual,script,46.45,exclamation,True
2404,6,11_skydiving,after,69080,wonky,non-habitual,script,45.51,exclamation,True
2404,1,13_bus,before,13827,wonky,,interaction,29.29,exclamation,True
2404,2,6_swimming,after,15167,ordinary,non-habitual,interaction,30.12,exclamation,True
2404,3,7_train,before,42546,ordinary,,interaction,56.43,exclamation,True
2404,4,22_dishes,after,9426,wonky,habitual,interaction,39.52,exclamation,True
2404,5,10_shampoo,after,15672,ordinary,habitual,interaction,39.4,exclamation,True
2404,6,11_skydiving,after,69080,wonky,non-habitual,interaction,44.8,exclamation,True
2405,1,5_fueling,before,41693,wonky,,habitual,32.81,period,True
2405,2,20_drive,before,35325,ordinary,,habitual,79.85,period,True
2405,3,3_feed_dog,after,47472,ordinary,habitual,habitual,89.09,period,True
2405,4,14_clothes,after,34104,ordinary,non-habitual,habitual,81.98,period,True
2405,5,10_shampoo,after,51390,wonky,non-habitual,habitual,10.66,period,True
2405,6,1_grocery,after,37986,wonky,habitual,habitual,20.13,period,True
2405,1,5_fueling,before,41693,wonky,,non-habitual,49.76,period,True
2405,2,20_drive,before,35325,ordinary,,non-habitual,49.16,period,True
2405,3,3_feed_dog,after,47472,ordinary,habitual,non-habitual,23.33,period,True
2405,4,14_clothes,after,34104,ordinary,non-habitual,non-habitual,87.79,period,True
2405,5,10_shampoo,after,51390,wonky,non-habitual,non-habitual,81.15,period,True
2405,6,1_grocery,after,37986,wonky,habitual,non-habitual,61.96,period,True
2405,1,5_fueling,before,41693,wonky,,script,76.53,period,True
2405,2,20_drive,before,35325,ordinary,,script,80.09,period,True
2405,3,3_feed_dog,after,47472,ordinary,habitual,script,99.52,period,True
2405,4,14_clothes,after,34104,ordinary,non-habitual,script,88.62,period,True
2405,5,10_shampoo,after,51390,wonky,non-habitual,script,81.86,period,True
2405,6,1_grocery,after,37986,wonky,habitual,script,61.25,period,True
2405,1,5_fueling,before,41693,wonky,,interaction,49.4,period,True
2405,2,20_drive,before,35325,ordinary,,interaction,50.59,period,True
